,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average
2.45,11,0,2,0,32,0,8,0,34,40,0,8,29,0,36,0,29,29,31,25,25,0,18,39,8,35,0,9,23,0,6,0,13,38,28,13,0,0,0,43,21,8,0,28,25,25,28,15,0,32,0,35,12,31,7,0,37,38,0,39,0,1,37,0,29,9,12,16,27,0,49,28,30,43,10,34,8,15,27,0,9,0,23,22,14,12,15,24,2,44,24,31,9,22,21,38,0,0,26,37,17.41
2.5,0,0,3,0,0,0,14,0,37,37,0,20,26,0,47,0,27,39,12,0,32,0,23,24,0,28,0,19,34,0,9,0,0,17,0,26,0,0,0,0,29,0,0,39,24,0,11,32,0,30,0,42,22,39,8,0,0,45,0,42,0,13,39,0,3,24,17,30,4,0,17,39,38,0,0,4,13,18,37,0,8,0,33,18,16,25,20,31,5,49,41,35,6,0,24,49,0,0,10,39,15.42
2.55,0,0,8,0,0,0,0,0,0,43,0,7,32,0,1,0,26,6,0,0,48,0,31,27,0,19,0,0,9,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,4,0,0,36,0,12,0,0,21,0,0,0,0,0,0,0,0,16,0,0,6,0,0,31,11,0,26,37,0,0,0,7,11,0,47,0,0,0,0,27,0,31,0,0,0,0,36,0,0,0,20,5,0,0,4,46,7.22
2.6,0,0,14,0,0,0,0,0,0,0,0,26,30,0,0,0,40,14,0,0,33,0,40,32,0,0,0,0,16,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,10,0,0,26,0,15,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,37,0,0,30,42,0,0,0,0,9,0,46,0,0,0,0,0,0,32,0,0,0,0,49,0,0,0,24,12,0,0,0,46,6.82
2.65,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,32,0,0,0,0,0,1.65
2.7,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,32,0,0,0,0,0,1.24
2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,20,0,0,0,0,0,0.43
2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
