,set 1,set 2,set 3,set 4,set 5,set 6,set 7,set 8,set 9,set 10,set 11,set 12,set 13,set 14,set 15,set 16,set 17,set 18,set 19,set 20,set 21,set 22,set 23,set 24,set 25,set 26,set 27,set 28,set 29,set 30,set 31,set 32,set 33,set 34,set 35,set 36,set 37,set 38,set 39,set 40,set 41,set 42,set 43,set 44,set 45,set 46,set 47,set 48,set 49,set 50,set 51,set 52,set 53,set 54,set 55,set 56,set 57,set 58,set 59,set 60,set 61,set 62,set 63,set 64,set 65,set 66,set 67,set 68,set 69,set 70,set 71,set 72,set 73,set 74,set 75,set 76,set 77,set 78,set 79,set 80,set 81,set 82,set 83,set 84,set 85,set 86,set 87,set 88,set 89,set 90,set 91,set 92,set 93,set 94,set 95,set 96,set 97,set 98,set 99,set 100,average,
1.5,11,3,16,8,9,11,8,15,10,12,8,10,5,5,7,8,10,11,11,9,9,9,11,7,7,12,9,10,9,18,9,13,4,9,18,15,7,7,7,17,13,5,12,8,7,8,17,10,6,8,13,16,12,9,9,5,7,10,13,5,16,8,11,15,14,13,11,12,15,15,15,6,13,14,7,11,11,9,6,14,7,11,9,11,6,7,12,2,6,9,11,9,15,3,6,9,5,11,4,10,9.86,
1.55,12,10,17,10,14,10,11,16,13,12,9,8,5,7,7,10,11,10,9,10,3,14,12,12,9,11,8,11,6,18,8,12,5,8,14,15,10,10,9,16,11,10,12,10,9,5,15,13,6,7,14,18,11,10,12,5,9,14,13,7,14,10,15,11,15,16,8,11,12,13,12,5,17,14,7,14,13,5,9,13,9,10,10,11,11,10,10,3,10,11,9,6,15,4,9,10,9,13,4,8,10.49,
1.6,10,14,15,14,16,9,10,11,11,10,11,8,8,13,10,7,10,11,8,12,2,16,11,14,9,8,7,8,9,16,11,13,10,3,9,16,13,10,12,11,13,14,11,11,11,6,11,13,4,6,11,18,9,11,14,6,10,18,9,6,12,7,11,7,17,15,6,10,8,10,9,6,15,15,9,13,8,9,12,16,10,10,11,11,10,10,8,7,10,12,8,7,14,5,10,8,12,14,5,7,10.42,
1.65,8,13,11,13,10,9,8,10,9,8,11,7,10,8,11,7,9,11,9,12,3,11,9,7,10,8,7,6,7,11,12,12,10,2,8,16,10,10,15,12,14,10,14,9,11,7,10,12,2,7,9,16,8,7,12,7,7,16,9,7,13,6,13,8,12,16,6,10,8,11,10,8,12,13,10,13,6,15,9,16,10,7,10,9,11,6,7,6,9,19,6,5,12,10,14,10,10,11,5,7,9.73,
1.7,9,12,11,10,9,10,8,8,9,8,12,12,14,6,11,7,7,10,6,9,7,8,9,9,8,7,6,7,9,11,12,12,13,4,9,11,12,5,12,12,13,10,13,8,10,7,11,9,3,8,10,15,6,9,11,4,11,14,12,6,14,6,7,9,9,16,6,13,10,12,8,7,10,13,12,14,8,10,8,12,13,7,8,10,12,6,8,8,5,17,7,5,13,6,14,6,5,9,6,10,9.4,
1.75,9,13,12,12,9,10,5,10,9,9,12,11,13,5,6,9,11,10,6,9,10,7,9,11,7,8,11,11,11,15,13,17,15,5,7,12,13,4,9,8,11,8,11,7,9,4,11,9,4,9,11,11,8,10,11,5,14,11,9,6,10,5,9,12,6,14,8,13,12,15,12,7,13,15,12,15,11,9,5,13,11,9,11,10,10,7,8,7,5,12,9,8,17,4,10,8,3,12,5,12,9.66,
1.8,10,12,19,13,9,8,4,14,10,14,12,9,13,7,6,10,11,6,7,11,9,10,8,13,7,11,13,12,14,17,11,14,16,6,11,15,13,8,11,6,11,8,9,7,9,8,10,7,6,12,16,7,4,13,15,9,17,10,13,7,10,6,10,14,4,19,9,12,12,18,10,8,16,13,6,15,10,7,7,10,9,8,16,10,12,4,9,7,9,13,10,11,19,5,10,7,6,15,3,11,10.38,
1.85,9,10,20,16,10,8,8,12,13,15,12,6,13,7,7,11,14,6,7,17,5,13,10,18,7,10,18,11,12,13,12,14,16,5,11,13,14,16,11,5,11,10,10,11,9,13,11,13,11,11,9,11,4,10,14,9,13,8,10,9,10,9,10,8,7,16,8,11,7,17,9,4,17,13,5,17,9,11,8,13,10,8,11,8,9,10,9,9,5,12,8,12,13,6,14,5,11,19,5,7,10.62,
1.9,9,11,17,17,12,6,11,10,13,15,15,3,13,9,13,9,13,5,10,18,4,14,10,15,10,11,15,8,14,11,11,15,13,4,12,14,8,17,12,3,11,15,7,12,12,14,10,15,9,8,9,10,3,6,14,8,16,9,8,4,12,11,9,9,7,14,7,9,8,11,5,4,17,13,5,12,8,17,13,12,10,7,10,10,10,12,7,7,5,13,10,9,14,10,20,7,10,18,11,6,10.59,
1.95,8,18,12,17,12,4,16,9,11,15,12,6,13,8,12,5,9,7,9,12,5,11,11,13,14,12,13,8,10,11,11,12,12,7,10,10,10,14,13,5,8,13,9,11,10,13,10,15,13,7,10,10,7,7,13,5,10,11,7,6,12,10,8,9,6,12,8,10,9,6,4,2,14,11,7,14,8,22,17,14,10,8,10,8,12,10,6,10,6,16,9,9,15,11,18,7,12,11,14,4,10.31,
2,7,18,11,14,13,4,13,9,14,13,11,9,11,8,14,8,10,8,10,11,10,11,12,11,16,11,11,9,10,12,10,12,12,9,7,8,12,12,15,5,5,8,8,12,8,8,9,15,14,6,8,9,5,8,8,6,9,8,8,9,12,6,7,12,13,13,9,9,9,11,5,7,11,4,5,12,11,15,11,14,10,12,14,9,11,10,9,9,7,9,7,8,12,12,22,7,10,12,11,2,10.01,
2.05,5,11,13,16,10,6,11,11,11,12,11,8,15,6,14,9,10,8,10,11,8,11,12,10,16,17,10,7,13,14,12,12,9,11,4,8,8,10,14,5,5,4,8,11,13,6,11,12,15,9,11,9,6,9,6,10,9,6,5,11,10,6,11,15,9,14,6,11,10,10,8,8,13,6,5,12,14,17,9,9,11,14,11,7,8,10,9,10,10,12,7,10,6,9,14,7,8,15,7,4,9.87,
2.1,5,12,12,12,10,5,8,10,10,12,10,7,11,7,17,17,10,6,8,13,5,10,14,16,15,20,9,8,17,13,11,12,7,8,5,9,9,17,11,4,6,6,7,15,14,8,10,11,7,10,11,11,3,11,4,14,11,7,8,11,8,7,12,16,10,12,8,8,13,13,11,6,15,11,5,16,12,15,10,7,13,13,9,7,5,12,8,8,11,11,10,10,6,10,12,8,7,15,5,7,10.09,
2.15,5,11,9,11,9,5,7,8,13,13,12,4,7,9,15,19,12,4,10,15,5,14,13,21,15,18,8,9,15,16,12,19,7,9,4,12,8,19,11,6,9,9,6,15,10,7,10,12,6,10,8,13,4,13,6,11,8,8,11,8,5,8,13,12,10,10,9,8,10,11,8,9,10,12,5,14,9,15,14,3,13,11,11,8,6,12,7,11,12,10,16,8,4,9,14,11,12,18,8,9,10.28,
2.2,8,9,10,11,12,6,10,6,11,16,8,5,8,9,14,17,9,7,12,17,7,14,10,21,10,17,8,6,14,16,12,16,10,7,3,12,11,19,15,6,12,10,8,15,10,13,5,15,6,8,11,12,7,11,5,10,11,8,12,5,7,14,12,12,6,8,8,10,6,8,10,9,9,16,6,12,7,15,18,9,13,8,13,14,7,12,9,15,11,11,13,7,6,8,15,11,9,13,11,11,10.52,
2.25,10,10,12,12,13,5,11,5,11,15,8,4,10,9,12,13,7,9,12,17,11,15,7,18,11,15,7,4,12,13,12,14,6,11,3,9,11,16,16,5,13,8,8,14,13,17,3,16,6,8,10,12,10,9,7,12,12,7,11,6,11,12,12,13,11,10,6,8,8,9,13,7,9,15,7,15,9,14,20,9,12,7,11,11,3,14,8,16,9,15,12,5,8,8,16,8,10,11,14,9,10.48,
2.3,8,10,17,8,11,4,9,10,9,11,9,5,13,7,10,14,9,10,11,15,14,12,9,16,10,12,5,4,11,11,13,16,8,15,5,10,8,16,15,7,14,5,9,16,11,13,3,16,5,6,12,9,11,11,6,14,13,5,12,11,10,8,12,13,6,12,5,10,14,11,9,7,12,13,7,15,10,11,15,8,10,7,9,10,1,18,12,17,7,13,9,3,5,10,18,4,12,11,16,13,10.32,
2.35,8,13,15,8,8,5,10,15,8,10,11,3,15,4,11,14,8,10,12,13,13,9,8,15,10,11,5,5,9,10,15,14,11,17,7,11,5,15,11,6,14,4,4,17,4,10,6,19,5,11,12,13,15,9,6,17,12,6,15,11,12,11,15,10,5,12,9,13,12,12,7,9,7,13,4,9,12,12,12,8,9,7,8,5,2,20,12,12,6,11,9,3,8,8,13,8,12,10,14,19,10.18,
2.4,8,11,16,10,10,6,7,18,16,12,10,6,18,7,12,13,8,9,9,13,8,8,10,18,12,9,7,10,9,9,14,15,9,14,12,10,5,13,8,8,11,2,9,14,5,11,8,20,5,11,12,14,9,11,5,22,10,9,14,6,10,13,18,8,5,10,7,15,12,18,8,13,6,18,6,8,12,11,12,11,14,9,8,9,5,18,10,14,5,11,11,3,6,6,10,11,8,10,11,14,10.49,
2.45,9,8,9,9,12,6,8,19,18,12,5,7,13,9,14,11,8,7,12,12,6,13,8,17,10,11,11,9,7,8,11,10,11,13,12,12,6,13,6,8,8,6,13,13,7,12,7,12,11,11,12,20,6,12,8,18,13,8,13,5,7,11,14,7,7,11,10,14,8,16,8,14,8,17,7,12,13,8,8,15,12,9,5,11,6,21,13,12,2,11,11,2,10,3,9,15,6,7,12,12,10.29,
2.5,8,7,7,7,17,6,9,16,17,13,7,5,11,11,17,8,5,5,13,18,6,10,7,20,11,15,12,9,6,12,9,8,9,13,10,14,6,17,9,10,11,7,14,14,6,16,10,14,8,10,9,25,7,11,8,13,11,11,15,5,9,9,13,9,10,13,9,9,5,15,10,14,6,12,11,14,13,12,7,12,7,7,4,14,2,18,11,9,3,12,11,2,11,8,13,13,7,6,15,10,10.4,
2.55,13,6,8,5,19,5,15,13,18,10,10,8,11,9,16,10,8,4,12,16,6,11,5,16,12,17,10,8,10,10,7,7,7,12,7,14,2,14,11,9,16,8,14,16,8,15,8,12,7,8,10,17,9,13,10,13,11,14,15,8,10,8,12,12,13,15,11,11,4,13,9,13,8,13,12,12,9,10,13,10,2,7,4,14,2,14,11,14,3,8,9,3,10,10,14,12,13,8,16,9,10.44,
2.6,10,9,13,6,13,5,15,13,13,7,8,10,13,10,12,10,8,7,9,16,8,9,7,14,10,13,7,10,9,9,6,7,7,13,6,13,5,13,14,7,11,8,11,14,13,14,4,12,6,6,9,11,15,13,13,11,12,12,14,12,8,7,13,12,11,12,9,16,4,13,9,9,9,13,13,13,9,11,14,9,5,10,4,10,1,14,8,15,1,8,7,7,8,11,15,11,12,10,14,9,10.09,
2.65,11,14,15,8,10,3,10,14,14,8,9,9,11,4,11,14,12,11,10,11,8,13,11,16,11,14,8,10,10,9,6,7,7,17,11,12,6,15,14,8,9,5,13,10,12,15,7,10,9,6,6,12,14,11,9,9,10,14,10,13,6,7,18,8,9,12,12,19,6,14,13,7,11,12,9,12,12,8,11,7,7,15,7,9,5,10,4,11,2,10,7,9,9,9,19,12,14,11,11,9,10.29,
2.7,7,16,15,8,12,1,11,16,15,10,9,5,11,6,10,13,9,8,9,12,11,13,16,18,11,13,8,11,13,10,10,8,8,14,12,14,11,12,9,10,9,6,12,16,8,13,10,14,9,6,5,11,12,16,8,11,11,13,9,11,6,10,18,12,10,13,15,20,4,15,14,10,8,7,11,10,10,6,9,6,10,16,6,6,8,9,6,11,3,9,12,11,10,10,15,11,13,7,12,12,10.56,
2.75,5,10,11,13,15,2,11,15,18,16,9,7,11,8,11,11,10,8,11,12,10,15,18,18,11,15,5,9,12,10,12,10,11,14,12,15,13,11,8,10,11,9,10,14,7,13,11,19,6,7,7,13,10,20,11,12,9,13,10,8,5,10,16,13,9,15,14,19,4,14,15,14,4,9,12,13,8,7,11,10,7,15,6,8,11,11,8,13,1,12,8,9,8,6,15,12,12,7,16,15,10.95,
2.8,9,11,9,10,18,5,15,11,20,18,9,7,10,11,8,16,12,6,14,10,6,15,19,18,9,20,4,9,12,13,7,10,9,14,12,17,8,10,10,14,15,13,13,12,7,16,14,18,6,7,11,13,10,24,9,10,14,11,13,10,7,7,12,10,11,11,10,18,5,14,12,15,2,9,13,14,5,10,8,12,7,14,7,7,14,10,15,10,1,11,7,9,9,5,10,10,12,8,16,11,11.09,
2.85,12,8,10,11,19,6,12,13,14,13,10,9,8,13,6,15,14,6,8,12,4,13,10,14,11,20,5,9,10,13,6,11,8,10,9,17,5,15,13,13,16,12,9,14,8,12,12,15,3,10,14,12,9,21,11,8,13,13,12,10,7,10,11,8,11,11,9,18,6,14,8,15,5,9,15,16,11,14,7,10,9,14,6,9,10,5,15,13,1,13,7,9,9,8,17,9,18,8,14,7,10.85,
2.9,14,10,14,13,20,8,15,12,14,8,11,13,12,8,9,12,13,7,10,14,3,13,10,12,13,14,11,11,12,12,5,12,6,11,4,16,4,17,10,11,10,9,11,12,9,14,9,12,12,9,13,12,10,18,6,12,13,15,11,13,10,13,8,10,13,12,12,15,10,12,5,14,6,8,13,14,12,10,9,10,9,10,7,9,6,6,12,13,3,15,10,8,8,10,16,12,18,10,17,7,10.96,
